posizione,titolo,autore,url,rating,numero_recensioni,categoria,editore_anno
"30,Mafia. Una storia globale,Ryan Gingeras,https://www.ibs.it/mafia-storia-globale-libro-ryan-gingeras/e/9788842834588,0,0,""Società, politica e comunicazione"",""Il Saggiatore, 2026"""
"31,Al paradiso delle signore. Ediz. integrale,Émile Zola,https://www.ibs.it/al-paradiso-delle-signore-ediz-libro-emile-zola/e/9788822783813,5,2,Narrativa straniera,""Newton Compton Editori, 2024"""
"32,Kolchoz,Emmanuel Carrère,https://www.ibs.it/kolchoz-libro-emmanuel-carrere/e/9788845941009,4,22,Narrativa straniera,""Adelphi, 2026"""
"33,First lady per caso,Felicia Kingsley,https://www.ibs.it/first-lady-per-caso-libro-felicia-kingsley/e/9791224206385,0,0,Narrativa erotica e rosa,""Newton Compton Editori, 2026"""
"34,L'occhio fantasma,Amitav Ghosh,https://www.ibs.it/occhio-fantasma-libro-amitav-ghosh/e/9788806267858,0,0,Narrativa straniera,""Einaudi, 2026"""
"35,Storie di fantasmi. Con le Lettere a Miles di Paul Auster,Siri Hustvedt,https://www.ibs.it/storie-di-fantasmi-con-lettere-libro-siri-hustvedt/e/9788806271510,0,0,""Classici, poesia, teatro e critica"",""Einaudi, 2026"""
"36,Il giardino segreto. Ediz. integrale,Frances H. Burnett,https://www.ibs.it/giardino-segreto-ediz-integrale-libro-frances-h-burnett/e/9788822781253,0,0,Narrativa straniera,""Newton Compton Editori, 2024"""
"37,Punto di partenza 1979-1996,Hayao Miyazaki,https://www.ibs.it/punto-di-partenza-1979-1996-libro-hayao-miyazaki/e/9788834621936,0,0,Biografie,""La nave di Teseo, 2026"""
"38,""Racconti di farina. Lievitati, ricette salate, biscotti, crostate e dolci da credenza"",Althea Totonelli,https://www.ibs.it/racconti-di-farina-lievitati-ricette-libro-althea-totonelli/e/9788858056851,0,0,""Casa, hobby e cucina"",""Gribaudo, 2026"""
"39,Soltanto il giorno,Santina Cosetta,https://www.ibs.it/soltanto-giorno-libro-santina-cosetta/e/9791223232323,4,5,Narrativa italiana,""Giunti Editore, 2026"""
"40,Cara Debbie,Freida McFadden,https://www.ibs.it/cara-debbie-libro-freida-mcfadden/e/9791224205074,0,0,""Gialli, thriller, horror"",""Newton Compton Editori, 2026"""
"41,La città dei vivi,Nicola Lagioia,https://www.ibs.it/citta-dei-vivi-libro-nicola-lagioia/e/9788806253424,5,123,Narrativa italiana,""Einaudi, 2022"""
"42,Alice nel paese delle meraviglie. Ediz. integrale,Lewis Carroll,https://www.ibs.it/alice-nel-paese-delle-meraviglie-libro-lewis-carroll/e/9788822787781,0,0,Bambini e ragazzi,""Newton Compton Editori, 2025"""
"43,Canzoni,Francesco Guccini,https://www.ibs.it/canzoni-libro-francesco-guccini/e/9788830155336,5,9,""Cinema, musica, tv, spettacolo"",""Bompiani, 2026"""
"44,Fisica generale e biomedica. Manuale conforme al Syllabus per il semestre filtro 2026-2027. Con assistente virtuale,Domenico Scannicchio,https://www.ibs.it/fisica-generale-biomedica-manuale-conforme-libro-domenico-scannicchio/e/9788836232598,0,0,""Scienze, geografia, ambiente"",""Edises, 2026"""
"45,""Pronti, attenti, buh! Ediz. illustrata"",Elizabeth Baguley,https://www.ibs.it/pronti-attenti-buh-ediz-illustrata-libro-elizabeth-baguley-marion-lindsay/e/9788858015629,5,3,Bambini e ragazzi,""Gribaudo, 2016"""
"46,L'albergo stregato. Ediz. integrale,Wilkie Collins,https://www.ibs.it/albergo-stregato-ediz-integrale-libro-wilkie-collins/e/9791224204008,4,7,""Gialli, thriller, horror"",""Newton Compton Editori, 2026"""
"47,Unfair play. Ultimo tempo,Carrie Leighton,https://www.ibs.it/unfair-play-ultimo-tempo-libro-carrie-leighton/e/9791259576521,0,0,Narrativa erotica e rosa,""Magazzini Salani, 2026"""
"48,Murdoku. 80 omicidi misteriosi da risolvere con la logica. Il primo libro che unisce crime e sudoku,Manuel Garand,https://www.ibs.it/murdoku-80-omicidi-misteriosi-da-libro-manuel-garand/e/9791259578839,5,4,""Casa, hobby e cucina"",""Magazzini Salani, 2026"""
"49,Una splendida rovina,Vincenzo Latronico,https://www.ibs.it/splendida-rovina-libro-vincenzo-latronico/e/9788806270995,3,1,Narrativa italiana,""Einaudi, 2026"""
"50,L'eremo dei folli,Agnese Messina,https://www.ibs.it/eremo-dei-folli-libro-agnese-messina/e/9788811016496,5,2,Narrativa italiana,""Garzanti, 2026"""
"51,Ed è un poco la notte e un poco l'alba,Ilaria Tuti,https://www.ibs.it/ed-poco-notte-poco-alba-libro-ilaria-tuti/e/9788830463721,5,23,Narrativa italiana,""Longanesi, 2026"""
"52,La figlia,Clara Usón,https://www.ibs.it/figlia-libro-clara-uson/e/9788838929120,4,27,Narrativa straniera,""Sellerio Editore Palermo, 2026"""
"53,La signora di Wildfell Hall. Ediz. integrale,Anne Brontë,https://www.ibs.it/signora-di-wildfell-hall-ediz-libro-anne-bronte/e/9791224203988,5,9,Narrativa straniera,""Newton Compton Editori, 2026"""
"54,Nero come il mare,Charlotte McConaghy,https://www.ibs.it/nero-come-mare-libro-charlotte-mcconaghy/e/9791259678829,3,7,Narrativa straniera,""Fazi, 2026"""
"55,""Nel bosco di Rogoredo. L'altra faccia di Milano. Storie di giovani e droga, di resistenza e umanità"",Simone Feder,https://www.ibs.it/nel-bosco-di-rogoredo-altra-libro-simone-feder/e/9791281695610,0,0,""Società, politica e comunicazione"",""Zolfo, 2026"""
"56,Contro il fatalismo,David Foster Wallace,https://www.ibs.it/contro-fatalismo-libro-david-foster-wallace/e/9788806269968,0,0,""Classici, poesia, teatro e critica"",""Einaudi, 2026"""
"57,Il tempo dell'orologiaio,Maurizio de Giovanni,https://www.ibs.it/tempo-dell-orologiaio-libro-maurizio-de-giovanni/e/9788807037375,4,11,Narrativa italiana,""Feltrinelli, 2026"""
"58,Piccole donne,Louisa May Alcott,https://www.ibs.it/piccole-donne-libro-louisa-may-alcott/e/9788822773913,5,1,Narrativa straniera,""Newton Compton Editori, 2022"""
"59,Ragione e sentimento. Ediz. integrale,Jane Austen,https://www.ibs.it/ragione-sentimento-ediz-integrale-libro-jane-austen/e/9788822776921,0,0,Narrativa straniera,""Newton Compton Editori, 2023"""
"60,Cime tempestose. Ediz. integrale,Emily Brontë,https://www.ibs.it/cime-tempestose-ediz-integrale-libro-emily-bronte/e/9788822776938,4,3,Narrativa straniera,""Newton Compton Editori, 2023"""
"61,Puoi. Ediz. a colori,Carmen Mateo,https://www.ibs.it/puoi-ediz-a-colori-libro-carmen-mateo/e/9788829608935,0,0,Bambini e ragazzi,""Emme Edizioni, 2026"""
"62,Miss Bee e l'inganno in prima classe,Alessia Gazzola,https://www.ibs.it/miss-bee-inganno-in-prima-libro-alessia-gazzola/e/9788830465015,0,0,""Gialli, thriller, horror"",""Longanesi, 2026"""
"63,Un giorno questo dolore ti sarà utile,Peter Cameron,https://www.ibs.it/giorno-questo-dolore-ti-sara-libro-peter-cameron/e/9788845925023,4,204,Narrativa straniera,""Adelphi, 2010"""
"64,L'inverno della levatrice,Ariel Lawhon,https://www.ibs.it/inverno-della-levatrice-libro-ariel-lawhon/e/9788854533387,5,18,""Gialli, thriller, horror"",""Neri Pozza, 2026"""
"65,La favola di Amore e Psiche. Testo latino a fronte,Apuleio,https://www.ibs.it/favola-di-amore-psiche-testo-libro-apuleio/e/9791224208396,0,0,,""Newton Compton Editori, 2026"""
"66,L'arte di ottenere rispetto. Ediz. integrale,Arthur Schopenhauer,https://www.ibs.it/arte-di-ottenere-rispetto-ediz-libro-arthur-schopenhauer/e/9791224208426,5,5,Filosofia,""Newton Compton Editori, 2026"""
"67,La famiglia Karnowski. Ediz. integrale,Israel Joshua Singer,https://www.ibs.it/famiglia-karnowski-ediz-integrale-libro-israel-joshua-singer/e/9791224208440,4,1,Narrativa straniera,""Newton Compton Editori, 2026"""
"68,Il linguaggio segreto delle carezze,Thrity Umrigar,https://www.ibs.it/linguaggio-segreto-delle-carezze-libro-thrity-umrigar/e/9791282435147,0,0,Narrativa straniera,""Libreria Pienogiorno, 2026"""
"69,La collana di cristallo,Cristina Caboni,https://www.ibs.it/collana-di-cristallo-libro-cristina-caboni/e/2000000170435,0,0,Narrativa italiana,""TEA, 2026"""
"70,Tutte le mattine di Sybil,Virginia Evans,https://www.ibs.it/tutte-mattine-di-sybil-libro-virginia-evans/e/9788817188708,4,4,Narrativa straniera,""Rizzoli, 2026"""
"71,Persuasione,Jane Austen,https://www.ibs.it/persuasione-libro-jane-austen/e/9788822783790,0,0,Narrativa straniera,""Newton Compton Editori, 2024"""
"72,Dracula. Ediz. integrale,Bram Stoker,https://www.ibs.it/dracula-ediz-integrale-libro-bram-stoker/e/9788822784926,0,0,Narrativa straniera,""Newton Compton Editori, 2024"""
"73,Il mondo perduto,Arthur Conan Doyle,https://www.ibs.it/mondo-perduto-libro-arthur-conan-doyle/e/9788822793669,0,0,Narrativa straniera,""Newton Compton Editori, 2025"""
"74,I tramezzini di Rocco Schiavone,Antonio Manzini,https://www.ibs.it/tramezzini-di-rocco-schiavone-libro-antonio-manzini/e/9788838949951,5,33,Narrativa italiana,""Sellerio Editore Palermo, 2026"""
"75,Per la scuola. Nuova ediz.,Piero Calamandrei,https://www.ibs.it/per-scuola-nuova-ediz-libro-piero-calamandrei/e/9788838950537,0,0,Educazione e formazione,""Sellerio Editore Palermo, 2026"""
"76,Nel paese dei ciechi,Herbert George Wells,https://www.ibs.it/nel-paese-dei-ciechi-libro-herbert-george-wells/e/9788845923326,4,20,Narrativa straniera,""Adelphi, 2008"""
"77,La solitudine di Sonia e Sunny,Kiran Desai,https://www.ibs.it/solitudine-di-sonia-sunny-libro-kiran-desai/e/9788845941016,5,4,Narrativa straniera,""Adelphi, 2026"""
"78,Domenica,Georges Simenon,https://www.ibs.it/domenica-libro-georges-simenon/e/9788845941184,5,14,Narrativa straniera,""Adelphi, 2026"""
"79,Il lupo che voleva cambiare colore. Amico lupo. Ediz. illustrata,Orianne Lallemand,https://www.ibs.it/lupo-che-voleva-cambiare-colore-libro-orianne-lallemand/e/9788858037218,5,19,Bambini e ragazzi,""Gribaudo, 2021"""
"80,La forza della passione. Lettere a Monsignor Fisichella,Oriana Fallaci,https://www.ibs.it/forza-della-passione-lettere-a-libro-oriana-fallaci-rino-fisichella/e/9791223802366,0,0,Biografie,""Piemme, 2026"""
"81,Canne al vento. Ediz. integrale,Grazia Deledda,https://www.ibs.it/canne-al-vento-ediz-integrale-libro-grazia-deledda/e/9791224204022,0,0,Narrativa italiana,""Newton Compton Editori, 2026"""
"82,Suite francese,Irène Némirovsky,https://www.ibs.it/suite-francese-libro-irene-nemirovsky/e/9791224208389,5,1,Narrativa straniera,""Newton Compton Editori, 2026"""
"83,La portinaia del 17. I segreti del Vieux Moulin,Emma Cortesi,https://www.ibs.it/portinaia-del-17-segreti-del-libro-emma-cortesi/e/9791259678485,4,14,Narrativa italiana,""Fazi, 2026"""
"84,Un pranzo da re. Avventure di un gourmand vagabondo. Ediz. limitata,Jim Harrison,https://www.ibs.it/pranzo-da-re-avventure-di-libro-jim-harrison/e/9791281519466,0,0,""Classici, poesia, teatro e critica"",""Edizioni Settecolori (Milano), 2026"""
"85,Quello che possiamo sapere,Ian McEwan,https://www.ibs.it/quello-che-possiamo-sapere-libro-ian-mcewan/e/9788806269159,4,20,Narrativa straniera,""Einaudi, 2025"""
"86,La morte di Ivan Il'ic,Lev Tolstoj,https://www.ibs.it/morte-di-ivan-ic-libro-lev-tolstoj/e/9788807900815,5,53,Narrativa straniera,""Feltrinelli, 2014"""
"87,Chimica medica e propedeutica biochimica con applicazioni cliniche. Con e-book,Tiziana Bellini,https://www.ibs.it/chimica-medica-propedeutica-biochimica-con-libro-tiziana-bellini/e/9788808599049,0,0,Medicina,""Zanichelli, 2026"""
"88,Fascismo bianco,Michele Ainis,https://www.ibs.it/fascismo-bianco-libro-michele-ainis/e/9788811021339,0,0,""Società, politica e comunicazione"",""Garzanti, 2026"""
"89,Il grande inganno. Da Ercole alla Nato: quello che la storia non ci ha insegnato,Paolo Mieli,https://www.ibs.it/grande-inganno-da-ercole-alla-libro-paolo-mieli/e/9788817199407,0,0,Storia e archeologia,""Rizzoli, 2026"""
"90,""Il simbolismo paleocristiano. Dio, cosmo, uomo"",Gerhart B. Ladner,https://www.ibs.it/simbolismo-paleocristiano-dio-cosmo-uomo-libro-gerhart-b-ladner/e/9788818036305,5,1,""Arte, architettura e fotografia"",""Rusconi Libri, 2021"""
"91,Agostino l'africano,Catherine Conybeare,https://www.ibs.it/agostino-africano-libro-catherine-conybeare/e/9788826610788,0,0,Religione e spiritualità,""Libreria Editrice Vaticana, 2026"""
"92,Fisica generale basato sull’opera di E. Ragozzino. Manuale conforme al Syllabus per il semestre filtro 2026- 2027. Con assistente virtuale,,https://www.ibs.it/fisica-generale-basato-sull-opera-libro-vari/e/9788836232604,0,0,""Scienze, geografia, ambiente"",""Edises, 2026"""
"93,La ricreazione è finita,Dario Ferrari,https://www.ibs.it/ricreazione-finita-libro-dario-ferrari/e/9788838944703,4,50,Narrativa italiana,""Sellerio Editore Palermo, 2023"""
"94,Sottomissione,Michel Houellebecq,https://www.ibs.it/sottomissione-libro-michel-houellebecq/e/9788845278709,4,96,Narrativa straniera,""Bompiani, 2015"""
"95,Fiori per Algernon,Daniel Keyes,https://www.ibs.it/fiori-per-algernon-libro-daniel-keyes/e/9788850241910,5,65,Narrativa straniera,""TEA, 2016"""
"96,Villette. Ediz. integrale,Charlotte Brontë,https://www.ibs.it/villette-ediz-integrale-libro-charlotte-bronte/e/9791224208402,4,8,Narrativa straniera,""Newton Compton Editori, 2026"""
"97,Le ore d'oro,Louisa Young,https://www.ibs.it/ore-d-oro-libro-louisa-young/e/9791259677013,0,0,Narrativa straniera,""Fazi, 2026"""
"98,Quando l'Italia rinacque. Il nostro Rinascimento,Aldo Cazzullo,https://www.ibs.it/quando-italia-rinacque-nostro-rinascimento-libro-aldo-cazzullo/e/9791259856265,0,0,""Arte, architettura e fotografia"",""HarperCollins Italia, 2026"""
"99,La pietra e la seta,Mikael Niemi,https://www.ibs.it/pietra-seta-libro-mikael-niemi/e/9791281724853,0,0,Narrativa straniera,""Iperborea, 2026"""
"100,Le origini del male,You-jeong Jeong,https://www.ibs.it/origini-del-male-libro-you-jeong-jeong/e/2000000163406,5,7,""Gialli, thriller, horror"",""Feltrinelli, 2026"""
